"敌人ID","日本敌人名称","入队概率分母","基础入队概率","关联角色ID","日本角色名称","Faces路径","Faces索引","Battlers路径","敌人Cut-inPictures路径","角色Cut-inPictures路径","中文敌人名称","中文角色名称"
"515","くのいちエルフ","3","1/3（33.33%）","414","夜の蜻蛉","Graphics/Faces/kunoitielf2_fc4","0","Graphics/Battlers/80_kunoitielf2_st01","","Graphics/Pictures/ct_kunoitielf2_1；Graphics/Pictures/ct_kunoitielf2_3；Graphics/Pictures/ct_kunoitielf2_2","女忍精灵","夜之蜻蛉"
"518","くのいちサキュバス","4","1/4（25.00%）","415","天音","Graphics/Faces/kuno_succubus_fc1","0","Graphics/Battlers/50_kuno_succubus_st01","Graphics/Pictures/ct_kuno_succubus1","Graphics/Pictures/ct_kuno_succubus1","女忍魅魔","天音"
"519","くのいちハーピー","4","1/4（25.00%）","416","燕","Graphics/Faces/kuno_hapy_fc1","0","Graphics/Battlers/50_kuno_hapy_st01","Graphics/Pictures/ct_kuno_hapy1","Graphics/Pictures/ct_kuno_hapy1","女忍哈比","燕"
"520","くのいちスキュラ","4","1/4（25.00%）","417","紫陽花","Graphics/Faces/kuno_scylla_fc1","0","Graphics/Battlers/50_kuno_scylla_st01","Graphics/Pictures/ct_kuno_scylla1","Graphics/Pictures/ct_kuno_scylla1","女忍斯库拉","紫阳花"
"521","くのいちアラクネ","4","1/4（25.00%）","418","蛍","Graphics/Faces/kuno_arachne_fc1","0","Graphics/Battlers/50_kuno_arachne_st01","Graphics/Pictures/ct_kuno_arachne1","Graphics/Pictures/ct_kuno_arachne1","女忍阿拉克涅","蛍"
"526","エルダーサキュバス","3","1/3（33.33%）","421","アロマ","Graphics/Faces/esuccubus_fc1","0","Graphics/Battlers/80_esuccubus_st01","","","长老魅魔","阿罗玛"
"527","グランセントール","2","1/2（50.00%）","422","ランスロット","Graphics/Faces/gran_centa_fc1","0","Graphics/Battlers/50_gran_centa_st01","","","巨型半人马","兰斯洛特"
"528","エイビス娘","3","1/3（33.33%）","423","アンドレア","Graphics/Faces/abis_fc1","0","Graphics/Battlers/50_abis_st01","Graphics/Pictures/ct_abis1","Graphics/Pictures/ct_abis1","龙鸟娘","安茱莉亚"
"529","陰陽五尾","4","1/4（25.00%）","424","初音","Graphics/Faces/onmyougobi_fc1","0","Graphics/Battlers/50_onmyougobi_st01","","","阴阳五尾","初音"
"530","花魁六尾","4","1/4（25.00%）","425","藤袴","Graphics/Faces/oiranrokubi_fc1","0","Graphics/Battlers/50_oiranrokubi_st01","","","花魁六尾","藤袴"
"545","アモルドール","10","1/10（10.00%）","429","アモルドール","Graphics/Faces/amoldoll_fc1","0","Graphics/Battlers/50_amoldoll_st01","","","阿莫尔人偶","阿莫尔人偶"
"548","ペルセポネー","10","1/10（10.00%）","430","ペルセポネー","Graphics/Faces/persephone_fc1","0","Graphics/Battlers/50_persephone_st01","","","珀耳塞福涅","珀耳塞福涅"
"549","トリロバイト","10","1/10（10.00%）","431","トリロバイト","Graphics/Faces/trilobite_fc1","0","Graphics/Battlers/80_trilobite_st11","Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_haetori2","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","三叶虫","三叶虫"
"554","マリエル","6","1/6（16.67%）","435","マリエル","Graphics/Faces/mariel_fc1","0","Graphics/Battlers/50_mariel_st01","","","玛丽艾尔","玛丽艾尔"
"555","淫乳天女","8","1/8（12.50%）","436","乳々","Graphics/Faces/tennyo_fc1","0","Graphics/Battlers/50_tennyo_st01","Graphics/Pictures/ct_tennyo1","Graphics/Pictures/ct_tennyo1","淫乳天女","乳乳"
"556","キメラテンタクル","8","1/8（12.50%）","437","フィオナ","Graphics/Faces/c_tentacle_fc1","0","Graphics/Battlers/50_c_tentacle_st01","","","奇美拉触手","菲奥娜"
"558","アリエル","4","1/4（25.00%）","438","アリエル","Graphics/Faces/ariel_fc1","3","Graphics/Battlers/80_ariel_st01","","","阿莉艾尔","阿莉艾尔"
"559","ラナエル","8","1/8（12.50%）","439","ラナエル","Graphics/Faces/ranael_fc1","0","Graphics/Battlers/80_ranael_st31","Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_haetori2","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","拉娜艾尔","拉娜艾尔"
"562","ナガエル","8","1/8（12.50%）","440","ナガエル","Graphics/Faces/nagael_fc1","0","Graphics/Battlers/80_nagael_st01","","","娜迦艾尔","娜迦艾尔"
"563","キメラメデュラハン","8","1/8（12.50%）","441","ロンド","Graphics/Faces/c_medulahan_fc1","0","Graphics/Battlers/50_c_medulahan_st01","","","奇美拉美杜拉罕","朗多"
"565","ラタエル","6","1/6（16.67%）","442","ラタエル","Graphics/Faces/ratael_fc1","0","Graphics/Battlers/50_ratael_st01","Graphics/Pictures/ct_ratael1","Graphics/Pictures/ct_ratael1","菈塔艾尔","菈塔艾尔"
"566","リファイール","10","1/10（10.00%）","443","リファイール","Graphics/Faces/rifaiel_fc1","0","Graphics/Battlers/50_rifaiel_st11","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","利芙艾尔","利芙艾尔"
"568","ギリエル","4","1/4（25.00%）","444","ギリエル","Graphics/Faces/giriel_fc1","0","Graphics/Battlers/50_giriel_st01","Graphics/Pictures/ct_giriel1","Graphics/Pictures/ct_giriel1","吉莉艾尔","吉莉艾尔"
"569","トルーパーロイド","4","1/4（25.00%）","445","ポム","Graphics/Faces/trooperloid_fc1","0","Graphics/Battlers/50_trooperloid_st01","","","士兵机器人","波姆"
"571","サビリエル","8","1/8（12.50%）","446","サビリエル","Graphics/Faces/sabiriel_fc1","0","Graphics/Battlers/50_sabiriel_st01","Graphics/Pictures/ct_sabiriel1","Graphics/Pictures/ct_sabiriel1","萨比莉艾尔","萨比莉艾尔"
"574","ムズキエル","6","1/6（16.67%）","447","ムズキエル","Graphics/Faces/muzukiel_fc1","0","Graphics/Battlers/50_muzukiel_st01","","","穆祖吉艾尔","穆祖吉艾尔"
"575","シルキエル","8","1/8（12.50%）","448","シルキエル","Graphics/Faces/silkiel_fc1","0","Graphics/Battlers/50_silkiel_st01","","","希尔吉艾尔","希尔吉艾尔"
"577","ベリエル","8","1/8（12.50%）","449","ベリエル","Graphics/Faces/berryel_fc1","0","Graphics/Battlers/50_berryel_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","贝莉艾尔","贝莉艾尔"
"578","キメラプラント","6","1/6（16.67%）","450","エラント","Graphics/Faces/evilprant_fc1","0","Graphics/Battlers/50_evilprant_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","奇美拉植物","艾兰特"
"579","リヴァエル","8","1/8（12.50%）","451","リヴァエル","Graphics/Faces/revel_fc1","0","Graphics/Battlers/80_revel_st01","","","莉瓦艾尔","莉瓦艾尔"
"584","キメラタン","6","1/6（16.67%）","452","レロール","Graphics/Faces/c_tangh_fc1","0","Graphics/Battlers/50_c_tangh_st01","","","奇美拉舌","雷罗尔"
"585","キメラバグ","4","1/4（25.00%）","453","マリ","Graphics/Faces/c_bug_fc1","0","Graphics/Battlers/50_c_bug_st01","","","奇美拉虫","玛莉"
"586","キメラスラッグ","6","1/6（16.67%）","454","ジェイン","Graphics/Faces/c_slag_fc1","0","Graphics/Battlers/50_c_slag_st01","","","奇美拉蛞蝓","简"
"587","キメラドリアード","10","1/10（10.00%）","455","アリー","Graphics/Faces/c_dryad_fc1","0","Graphics/Battlers/50_c_dryad_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","奇美拉树精","阿利"
"589","カトブレパス","8","1/8（12.50%）","456","ストーン","Graphics/Faces/catoblepas_fc1","0","Graphics/Battlers/50_catoblepas_st01","","","卡托布莱帕斯","斯通"
"590","テュポーン","8","1/8（12.50%）","457","テュポーネ","Graphics/Faces/typhon_fc1","0","Graphics/Battlers/50_typhon_st01","","","堤丰","提丰妮"
"593","トラップテミス","4","1/4（25.00%）","459","ビーナス","Graphics/Faces/traptemis_fc1","0","Graphics/Battlers/50_traptemis_st01","","","陷阱忒弥斯","维纳斯"
"595","フーリエル","8","1/8（12.50%）","460","フーリエル","Graphics/Faces/furiel_fc1","0","Graphics/Battlers/50_furiel_st01","","Graphics/Pictures/ct_furiel1","傅里艾尔","傅里艾尔"
"596","ドレインプラント","6","1/6（16.67%）","461","ドリス","Graphics/Faces/drainplant_fc1","0","Graphics/Battlers/50_drainplant_st01","","","榨精植物","多丽丝"
"597","ドレインロイド","8","1/8（12.50%）","462","ロゴス","Graphics/Faces/drainloid_fc1","0","Graphics/Battlers/80_drainloid_st01","","","榨精机器人","逻各斯"
"598","ハンディロイド","8","1/8（12.50%）","463","カーラ","Graphics/Faces/handyloid_fc1","0","Graphics/Battlers/50_handyloid_st01","","","巧手机器人","卡拉"
"601","メイドエンジェル","4","1/4（25.00%）","464","メイジェル","Graphics/Faces/maid_angel_fc1","0","Graphics/Battlers/50_maid_angel_st01","Graphics/Pictures/ct_maid_angel1","Graphics/Pictures/ct_maid_angel1","女仆天使","梅琪尔"
"602","コックエンジェル","4","1/4（25.00%）","465","クジェル","Graphics/Faces/cooc_angel_fc1","0","Graphics/Battlers/50_cooc_angel_st01","","Graphics/Pictures/ct_cooc_angel1","厨师天使","库琪尔"
"603","ワイティエル","6","1/6（16.67%）","466","ワイティエル","Graphics/Faces/whiteyel_fc1","0","Graphics/Battlers/50_whiteyel_st01","Graphics/Pictures/ct_whiteyel1","Graphics/Pictures/ct_whiteyel1","怀蒂艾尔","怀蒂艾尔"
"604","ラミアンロイド","6","1/6（16.67%）","467","プシェル","Graphics/Faces/lamianloid_fc1","0","Graphics/Battlers/50_lamianloid_st01","","Graphics/Pictures/ct_lamianloid1","拉米亚机器人","普谢尔"
"611","エンディエル","8","1/8（12.50%）","468","エンディエル","Graphics/Faces/endiel_fc1","0","Graphics/Battlers/50_endiel_st11","","","安迪艾尔","安迪艾尔"
"613","レプリカント","4","1/4（25.00%）","469","リプラ","Graphics/Faces/replicant_fc1","0","Graphics/Battlers/50_replicant_st01","","","新人类","瑞普拉"
"616","キメラプリズン","8","1/8（12.50%）","470","プリオ","Graphics/Faces/c_prison_fc1","0","Graphics/Battlers/50_c_prison_st01","","","奇美拉监狱","普里奥"
"619","マイコニド","6","1/6（16.67%）","471","デボラ","Graphics/Faces/maikonido_fc1","0","Graphics/Battlers/50_maikonido_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","蕈人","黛博拉"
"620","マタンゴ","8","1/8（12.50%）","472","マタンゴ","Graphics/Faces/matango_fc1","6","Graphics/Battlers/80_matango_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","玛坦戈","玛坦戈"
"621","メルティモス","6","1/6（16.67%）","473","モスミー","Graphics/Faces/meltymoss_fc1","0","Graphics/Battlers/50_meltymoss_st01","","","融蛾","莫斯米"
"622","メルティローズ","6","1/6（16.67%）","474","ローズ","Graphics/Faces/meltyrose_fc1","0","Graphics/Battlers/50_meltyrose_st01","","Graphics/Pictures/ct_meltyrose1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","融蔷薇","萝丝"
"623","キメラドリアード・ボア","10","1/10（10.00%）","475","ジャンヌ","Graphics/Faces/c_dryad_vore_fc1","0","Graphics/Battlers/50_c_dryad_vore_st01","Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","奇美拉树精・吞噬","贞德"
"626","帽子のアリス","20","1/20（5.00%）","715","帽子のアリス","Graphics/Faces/alice8thx_fc1","0","Graphics/Battlers/50_alice8thx01_st01","","","帽之爱丽丝","帽之爱丽丝"
"627","傘のアリス","20","1/20（5.00%）","716","傘のアリス","Graphics/Faces/alice8thx_fc1","1","Graphics/Battlers/50_alice8thx01_st02","","","伞之爱丽丝","伞之爱丽丝"
"628","赤のアリス","20","1/20（5.00%）","717","赤のアリス","Graphics/Faces/alice8thx_fc1","2","Graphics/Battlers/50_alice8thx01_st03","","","赤之爱丽丝","赤之爱丽丝"
"629","冬のアリス","20","1/20（5.00%）","718","冬のアリス","Graphics/Faces/alice8thx_fc1","3","Graphics/Battlers/50_alice8thx01_st04","","","冬之爱丽丝","冬之爱丽丝"
"630","剣のアリス","20","1/20（5.00%）","719","剣のアリス","Graphics/Faces/alice8thx_fc1","4","Graphics/Battlers/50_alice8thx01_st05","","","剑之爱丽丝","剑之爱丽丝"
"631","武のアリス","20","1/20（5.00%）","720","武のアリス","Graphics/Faces/alice8thx_fc1","5","Graphics/Battlers/50_alice8thx01_st06","","","武之爱丽丝","武之爱丽丝"
"633","白のアリス","20","1/20（5.00%）","722","白のアリス","Graphics/Faces/alice8thx_fc1","7","Graphics/Battlers/50_alice8thx01_st08","","","白之爱丽丝","白之爱丽丝"
"634","侍のアリス","20","1/20（5.00%）","723","侍のアリス","Graphics/Faces/alice8thx_fc2","0","Graphics/Battlers/50_alice8thx01_st09","","","侍之爱丽丝","侍之爱丽丝"
"635","忍のアリス","20","1/20（5.00%）","724","忍のアリス","Graphics/Faces/alice8thx_fc2","1","Graphics/Battlers/50_alice8thx01_st10","","","忍之爱丽丝","忍之爱丽丝"
"637","猟のアリス","20","1/20（5.00%）","721","猟のアリス","Graphics/Faces/alice8thx_fc1","6","Graphics/Battlers/50_alice8thx01_st07","","","猎之爱丽丝","猎之爱丽丝"
"638","舞のアリス","20","1/20（5.00%）","725","舞のアリス","Graphics/Faces/alice8thx_fc2","2","Graphics/Battlers/50_alice8thx01_st11","","","舞之爱丽丝","舞之爱丽丝"
"639","呪のアリス","20","1/20（5.00%）","727","呪のアリス","Graphics/Faces/alice8thx_fc2","4","Graphics/Battlers/50_alice8thx01_st13","","","咒之爱丽丝","咒之爱丽丝"
"640","兎のアリス","20","1/20（5.00%）","728","兎のアリス","Graphics/Faces/alice8thx_fc2","5","Graphics/Battlers/50_alice8thx01_st14","","","兔之爱丽丝","兔之爱丽丝"
"642","蝕のアリス","20","1/20（5.00%）","714","蝕のアリス","Graphics/Faces/alice8th_fc3","0","Graphics/Battlers/80_alice8th5_st01","","","蚀之爱丽丝","蚀之爱丽丝"
"643","海のアリス","20","1/20（5.00%）","726","海のアリス","Graphics/Faces/alice8thx_fc2","3","Graphics/Battlers/50_alice8thx01_st12","","","海之爱丽丝","海之爱丽丝"
"644","魔のアリス","20","1/20（5.00%）","729","魔のアリス","Graphics/Faces/alice8thx_fc2","6","Graphics/Battlers/50_alice8thx01_st15","","","魔之爱丽丝","魔之爱丽丝"
"650","ヨモツシコメ","6","1/6（16.67%）","476","モコメ","Graphics/Faces/yomotu_fc1","0","Graphics/Battlers/50_yomotu_st01","","","黄泉丑女","黄泉女"
"651","フェルメサーラ","8","1/8（12.50%）","477","フェルメサーラ","Graphics/Faces/fermesara_fc1","0","Graphics/Battlers/50_fermesara_st01","","","拉之子美西芙","拉之子美西芙"
"652","エンジェルグール","8","1/8（12.50%）","478","ユリアレスカ","Graphics/Faces/angelghoul_fc1","0","Graphics/Battlers/80_angelghoul_st01","","","天使食尸鬼","尤莉亚雷斯卡"
"653","ドラゴンゾンビ娘","10","1/10（10.00%）","479","ドルバレル","Graphics/Faces/dragonzonbe_fc1","0","Graphics/Battlers/80_dragonzonbe_st21","Graphics/Pictures/ct_dragonzonbe1","Graphics/Pictures/ct_dragonzonbe1","僵尸龙娘","多尔巴雷尔"
"655","ドッペルエリート","8","1/8（12.50%）","505","ルカ・ドッペル","Graphics/Faces/doppele_fc2","0","Graphics/Battlers/50_doppeleb_st01","","","克隆体精英","鲁卡・克隆体"
"656","サルラック娘","10","1/10（10.00%）","480","ラック","Graphics/Faces/sarlacc_fc1","0","Graphics/Battlers/80_sarlacc_st01","","","沙拉克娘","拉克"
"662","シリエル","6","1/6（16.67%）","481","シリエル","Graphics/Faces/siriel_fc1","0","Graphics/Battlers/50_siriel_st01","","","希莉艾尔","希莉艾尔"
"663","エグエル","8","1/8（12.50%）","482","エグエル","Graphics/Faces/eggel_fc1","0","Graphics/Battlers/50_eggel_st01","","","艾格艾尔","艾格艾尔"
"664","キメラチャリオッツ","8","1/8（12.50%）","483","チェリオ","Graphics/Faces/c_chariot_fc1","0","Graphics/Battlers/50_c_chariot_st01","","","奇美拉战车","切里奥"
"665","ナイトロイド","8","1/8（12.50%）","484","レイローズ","Graphics/Faces/knightloid_fc1","0","Graphics/Battlers/80_knightloid_st01","Graphics/Pictures/ct_knightloid1","Graphics/Pictures/ct_knightloid1","骑士机器人","蕾洛斯"
"666","アサシンロイド","8","1/8（12.50%）","485","ミネビア","Graphics/Faces/assassinloid_fc1","3","Graphics/Battlers/80_assassinloid_st01","Graphics/Pictures/ct_assassinloid1","Graphics/Pictures/ct_assassinloid1","刺客机器人","米涅比亚"
"668","ユリエル","8","1/8（12.50%）","486","ユリエル","Graphics/Faces/yuriel_fc1","0","Graphics/Battlers/50_yuriel_st01","","","尤莉艾尔","尤莉艾尔"
"669","メルシエル","8","1/8（12.50%）","487","メルシエル","Graphics/Faces/merusiel_fc1","0","Graphics/Battlers/50_merusiel_st01","","","梅尔希艾尔","梅尔希艾尔"
"670","セバスイール","10","1/10（10.00%）","488","セバスイール","Graphics/Faces/sebasiel_fc1","0","Graphics/Battlers/50_sebasiel_st01","","","塞巴西艾尔","塞巴西艾尔"
"676","ホルミエル","10","1/10（10.00%）","489","ホルミエル","Graphics/Faces/holmiel_fc1","0","Graphics/Battlers/50_holmiel_st01","Graphics/Pictures/ct_holmiel1","Graphics/Pictures/ct_holmiel1","霍尔米艾尔","霍尔米艾尔"
"677","アプティエル","10","1/10（10.00%）","490","アプティエル","Graphics/Faces/aptiel_fc1","0","Graphics/Battlers/50_aptiel_st01","","","阿普蒂艾尔","阿普蒂艾尔"
"678","クリオネラ","10","1/10（10.00%）","491","クリオネラ","Graphics/Faces/clionera_fc1","0","Graphics/Battlers/50_clionera_st01","","Graphics/Pictures/ct_clionera1","海天使","海天使"
"679","ロズニエル","10","1/10（10.00%）","492","ロズニエル","Graphics/Faces/roseniel_fc1","0","Graphics/Battlers/50_roseniel_st11","","","罗兹尼艾尔","罗兹尼艾尔"
"680","キュビエル","10","1/10（10.00%）","493","キュビエル","Graphics/Faces/cubiel_fc1","0","Graphics/Battlers/50_cubiel_st01","","","丘比艾尔","丘比艾尔"
"681","ワミエル","10","1/10（10.00%）","494","ワミエル","Graphics/Faces/wormiel_fc1","0","Graphics/Battlers/80_wormiel_st01","","Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru3；Graphics/Pictures/ct_hiru1；Graphics/Pictures/ct_hiru4","瓦米艾尔","瓦米艾尔"
"691","フェンリル","4","1/4（25.00%）","606","レラ","Graphics/Faces/fenrir_fc1","0","Graphics/Battlers/50_fenrir_st01","","","芬里尔","蕾拉"
"692","ガルキマセラ","6","1/6（16.67%）","607","ユージィー","Graphics/Faces/garukimasera_fc1","0","Graphics/Battlers/50_garukimasera_st01","","","月笛恶魔","尤吉"
"693","グレートオーク","6","1/6（16.67%）","608","グレッタ","Graphics/Faces/greatorc_fc1","0","Graphics/Battlers/50_greatorc_st01","","","巨兽人","格蕾塔"
"694","ランキュバス","6","1/6（16.67%）","609","リージュ","Graphics/Faces/ranccubus_fc1","0","Graphics/Battlers/50_ranccubus_st01","Graphics/Pictures/ct_ranccubus1","Graphics/Pictures/ct_ranccubus1","枪兵魅魔","莉茱"
"695","リーキュバス","6","1/6（16.67%）","610","ミラノ","Graphics/Faces/leeccubus_fc1","0","Graphics/Battlers/50_leeccubus_st01","Graphics/Pictures/ct_leeccubus1","Graphics/Pictures/ct_leeccubus1","贪吸魅魔","米拉娜"
"697","バフォメット","8","1/8（12.50%）","612","バフォム","Graphics/Faces/baphomet_fc1","0","Graphics/Battlers/50_baphomet_st01","","","巴风特","巴风姆"
"698","くだん","8","1/8（12.50%）","613","くだん","Graphics/Faces/kudan_fc1","0","Graphics/Battlers/50_kudan_st01","","","件","件"
"699","ヴェルラウネ","6","1/6（16.67%）","614","ヴェルベラ","Graphics/Faces/vellraune_fc1","0","Graphics/Battlers/50_vellraune_st01","Graphics/Pictures/ct_tuta2","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","丝绒娜温","维尔贝拉"
"700","ネペンデス","6","1/6（16.67%）","615","スミレ","Graphics/Faces/nependeath_fc1","1","Graphics/Battlers/50_nependeath_st01","Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","食人花","堇"
"701","薔薇貴族","8","1/8（12.50%）","616","ローザ","Graphics/Faces/barakizoku_fc1","0","Graphics/Battlers/50_barakizoku_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","蔷薇贵族","罗萨"
"706","ボムスライム","6","1/6（16.67%）","617","ボムボム","Graphics/Faces/bombslime_fc1","0","Graphics/Battlers/50_bombslime_st01","Graphics/Pictures/ct_bombslime1","Graphics/Pictures/ct_bombslime1","炸弹史莱姆","嘣嘣"
"707","リキュルスライム","6","1/6（16.67%）","618","リキュルン","Graphics/Faces/liqurslime_fc1","0","Graphics/Battlers/50_liqurslime_st01","Graphics/Pictures/ct_liqurslime1","Graphics/Pictures/ct_liqurslime1","利口酒史莱姆","利口伦"
"708","スライムプリンセス","8","1/8（12.50%）","619","プリン","Graphics/Faces/slimeprin_fc1","0","Graphics/Battlers/50_slimeprin_st01","Graphics/Pictures/ct_slimeprin1","Graphics/Pictures/ct_slimeprin1","史莱姆公主","布丁"
"709","アスラ","8","1/8（12.50%）","620","アスラ","Graphics/Faces/asura_fc1","0","Graphics/Battlers/50_asura_st01","Graphics/Pictures/ct_asura1","Graphics/Pictures/ct_asura1","阿修罗","阿修罗"
"710","ギガスライム","8","1/8（12.50%）","621","マキス","Graphics/Faces/gigaslime_fc1","2","Graphics/Battlers/80_gigaslime_st01","","","千兆史莱姆","马基斯"
"713","ラミアンナイトメア","8","1/8（12.50%）","622","レオノーラ","Graphics/Faces/lamia_n_fc1","0","Graphics/Battlers/80_lamia_n_st01","","","梦魇拉米亚","莱奥诺拉"
"714","ロードメデューサ","8","1/8（12.50%）","623","クローラント","Graphics/Faces/l_medusa_fc1","0","Graphics/Battlers/80_l_medusa_st01","","","美杜莎领主","克罗兰"
"715","パンドラ","10","1/10（10.00%）","624","パンドラ","Graphics/Faces/pandora_fc1","0","Graphics/Battlers/80_pandora_st01","","","潘多拉","潘多拉"
"718","ウツボ娘","4","1/4（25.00%）","625","ニョロ","Graphics/Faces/utubom_fc1","0","Graphics/Battlers/50_utubom_st01","Graphics/Pictures/ct_utubom1","Graphics/Pictures/ct_utubom1","海鳝娘","扭扭"
"719","アンシェントスキュラ","8","1/8（12.50%）","626","アンモナ","Graphics/Faces/ancientscylla_fc1","0","Graphics/Battlers/80_ancientscylla_st01","","","古代斯库拉","阿蒙娜"
"724","三口あかなめ","6","1/6（16.67%）","627","さより","Graphics/Faces/s_akaname_fc1","0","Graphics/Battlers/80_s_akaname_st01","","","三口垢舐鬼","纱世里"
"725","猫神","6","1/6（16.67%）","628","ヒメ","Graphics/Faces/nekogami_fc1","0","Graphics/Battlers/50_nekogami_st01","","","猫神","姬"
"726","銀鬼","6","1/6（16.67%）","629","ウメ","Graphics/Faces/kizin_fc1","0","Graphics/Battlers/50_kizin_st01","","","银鬼","梅"
"727","陰陽蠍","6","1/6（16.67%）","630","エミシ","Graphics/Faces/onmyosasori_fc1","1","Graphics/Battlers/50_onmyosasori_st01","","","阴阳蝎","艾米希"
"729","ケット・シー","8","1/8（12.50%）","631","ケット・シー","Graphics/Faces/caitsith_fc1","0","Graphics/Battlers/50_caitsith_st01","Graphics/Pictures/ct_caitsith1","Graphics/Pictures/ct_caitsith1","凯西猫","凯西猫"
"730","ガルフォックス","8","1/8（12.50%）","632","フォキシー","Graphics/Faces/galfox_fc1","0","Graphics/Battlers/80_galfox_st01","","","伽利狐","芙克斯"
"732","ジュラエイビス","8","1/8（12.50%）","633","ジュラ","Graphics/Faces/juraabis_fc1","0","Graphics/Battlers/50_juraabis_st01","","","侏罗龙鸟","侏罗"
"733","マルコシアス娘","8","1/8（12.50%）","634","ヴィオラ","Graphics/Faces/marchosias_fc1","0","Graphics/Battlers/50_marchosias_st01","","","马可西亚斯娘","维奥拉"
"736","ローキュバス","6","1/6（16.67%）","635","ロビリッチ","Graphics/Faces/loccubus_fc1","0","Graphics/Battlers/50_loccubus_st01","","Graphics/Pictures/ct_loccubus1","领主魅魔","萝比里奇"
"737","テスタロッサ","8","1/8（12.50%）","636","ロッサ","Graphics/Faces/testarossa_fc1","0","Graphics/Battlers/50_testarossa_st01","Graphics/Pictures/ct_testarossa1","Graphics/Pictures/ct_testarossa1","特斯塔罗飒","罗飒"
"738","上級海賊マーメイド","6","1/6（16.67%）","637","マミ","Graphics/Faces/ek_mermaid_fc1","0","Graphics/Battlers/50_ek_mermaid_st01","","","高级海贼人鱼","麻美"
"739","グレイトマーマン","8","1/8（12.50%）","638","セドナ","Graphics/Faces/greatmarman_fc1","0","Graphics/Battlers/50_greatmarman_st01","","","巨型人鱼","赛德娜"
"742","ギガドライアド","10","1/10（10.00%）","639","エレグランテ","Graphics/Faces/gigadryad_fc1","0","Graphics/Battlers/80_gigadryad_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","千兆树精","伊蕾格兰特"
"745","アルキュバス","6","1/6（16.67%）","640","アルキュール","Graphics/Faces/arucubuss_fc1","0","Graphics/Battlers/50_arucubuss_st01","Graphics/Pictures/ct_arucubuss1","Graphics/Pictures/ct_arucubuss1","炼金魅魔","阿尔库尔"
"746","レスキュバス","6","1/6（16.67%）","641","ヴェイユ","Graphics/Faces/lesscubuss_fc1","0","Graphics/Battlers/50_lesscubuss_st01","Graphics/Pictures/ct_lessccubus1","Graphics/Pictures/ct_lessccubus1","丝带魅魔","韦伊"
"747","グラナバス","8","1/8（12.50%）","642","グレイヌ","Graphics/Faces/granabass_fc1","0","Graphics/Battlers/50_granabass_st01","","","熟女魅魔","格蕾娜"
"753","ハーゲンベック","8","1/8（12.50%）","643","ハーゲンベック","Graphics/Faces/hargenbeck_fc3","0","Graphics/Battlers/50_hargenbeck_st21","","","哈根贝克","哈根贝克"
"755","サンタマリア","8","1/8（12.50%）","644","サンタマリア","Graphics/Faces/santamaria_fc3","0","Graphics/Battlers/50_santamaria_st11","","Graphics/Pictures/ct_santamaria1","圣玛利亚","圣玛利亚"
